TEAMname,color,Mascot,TEAM
Mercer,#FF7F27,Bears,Mercer Bears
Miami (FL),#003E24,Hurricanes,Miami (FL) Hurricanes
Miami (OH),#C60808,RedHawks,Miami (OH) RedHawks
Michigan,#272341,Wolverines,Michigan Wolverines
Michigan State,#1C453A,Spartans,Michigan State Spartans
Middle Tennessee,#0079C2,Blue Raiders,Middle Tennessee Blue Raiders
Milwaukee,#000000,Panthers,Milwaukee Panthers
Minnesota,#7F011B,Golden Gophers,Minnesota Golden Gophers
Mississippi,#002C91,Rebels,Mississippi Rebels
Mississippi State,#762123,Bulldogs,Mississippi State Bulldogs
Mississippi Valley State,#054105,Delta Devils,Mississippi Valley State Delta Devils
Missouri,#231F20,Tigers,Missouri Tigers
Missouri State,#5F0000,Bears,Missouri State Bears
Monmouth,#051844,Hawks,Monmouth Hawks
Montana,#751D4A,Grizzlies,Montana Grizzlies
Montana State,#003875,Bobcats,Montana State Bobcats
Morehead State,#094FA3,Eagles,Morehead State Eagles
Morgan State,#014786,Bears,Morgan State Bears
Mount St. Mary's,#005596,Mountaineers,Mount St. Mary's Mountaineers
Murray State,#002148,Racers,Murray State Racers
N.J.I.T,#EE3024,Highlanders,N.J.I.T Highlanders
Navy,#131630,Midshipmen,Navy Midshipmen
Nebraska,#F20017,Cornhuskers,Nebraska Cornhuskers
Nevada,#153E5F,Wolf Pack,Nevada Wolf Pack
New Hampshire,#004990,Wildcats,New Hampshire Wildcats
New Mexico,#000000,Lobos,New Mexico Lobos
New Mexico State,#891216,Aggies,New Mexico State Aggies
New Orleans,#2B3986,Privateers,New Orleans Privateers
Niagara,#69207E,Purple Eagles,Niagara Purple Eagles
Nicholls State,#C41230,Colonels,Nicholls State Colonels
Norfolk State,#046546,Spartans,Norfolk State Spartans
North Carolina,#98BFE5,Tar Heels,North Carolina Tar Heels
North Carolina A&T;,#0505AA,Aggies,North Carolina A&T; Aggies
North Carolina Central,#880023,Eagles,North Carolina Central Eagles
North Carolina State,#EF1216,Wolfpack,North Carolina State Wolfpack
North Carolina-Asheville,#156199,Bulldogs,North Carolina-Asheville Bulldogs
North Carolina-Wilmington,#1D2F68,Seahawks,North Carolina-Wilmington Seahawks
North Dakota,#702D07,Fighting Sioux,North Dakota Fighting Sioux
North Dakota State,#01402A,Bison,North Dakota State Bison
North Florida,#0A548D,Ospreys,North Florida Ospreys
North Texas,#00853D,Mean Green,North Texas Mean Green
Northeastern,#CC0001,Huskies,Northeastern Huskies
Northern Arizona,#003976,Lumberjacks,Northern Arizona Lumberjacks
Northern Colorado,#13558D,Bears,Northern Colorado Bears
Northern Illinois,#F1122C,Huskies,Northern Illinois Huskies
Northern Iowa,#473282,Panthers,Northern Iowa Panthers
Northwestern,#393996,Wildcats,Northwestern Wildcats
Northwestern State,#492F91,Demons,Northwestern State Demons
Notre Dame,#00122B,Fighting Irish,Notre Dame Fighting Irish
Oakland,#000000,Golden Grizzlies,Oakland Golden Grizzlies
Ohio,#295A29,Bobcats,Ohio Bobcats
Ohio State,#DE3121,Buckeyes,Ohio State Buckeyes
Oklahoma,#BA0034,Sooners,Oklahoma Sooners
Oklahoma State,#FF6500,Cowboys,Oklahoma State Cowboys
Old Dominion,#00507D,Monarchs,Old Dominion Monarchs
Oral Roberts,#002E70,Golden Eagles,Oral Roberts Golden Eagles
Oregon,#044520,Ducks,Oregon Ducks
Oregon State,#000203,Beavers,Oregon State Beavers
Pacific,#F47820,Tigers,Pacific Tigers
Penn State,#00265D,Nittany Lions,Penn State Nittany Lions
Pennsylvania,#082A74,Quakers,Pennsylvania Quakers
Pepperdine,#009C98,Waves,Pepperdine Waves
Pittsburgh,#003263,Panthers,Pittsburgh Panthers
Portland,#0E034E,Pilots,Portland Pilots
Portland State,#005E60,Vikings,Portland State Vikings
Prairie View A&M;,#5A185C,Panthers,Prairie View A&M; Panthers
Presbyterian,#194896,Blue Hose,Presbyterian Blue Hose
Princeton,#F9A13A,Tigers,Princeton Tigers
Providence,#000000,Friars,Providence Friars
Purdue,#000000,Boilermakers,Purdue Boilermakers
Quinnipiac,#041B43,Bobcats,Quinnipiac Bobcats
Radford,#BC1515,Highlanders,Radford Highlanders
Rhode Island,#3691C6,Rams,Rhode Island Rams
Rice,#003D7D,Owls,Rice Owls
Richmond,#9E0712,Spiders,Richmond Spiders
Rider,#A80532,Broncs,Rider Broncs
Robert Morris,#00214D,Colonials,Robert Morris Colonials
Rutgers,#EE363D,Scarlet Knights,Rutgers Scarlet Knights
Sacramento State,#00573C,Hornets,Sacramento State Hornets
Sacred Heart,#CE1040,Pioneers,Sacred Heart Pioneers
Saint Joseph's,#C2071B,Hawks,Saint Joseph's Hawks
Saint Louis,#00539C,Billikens,Saint Louis Billikens
Saint Mary's,#003768,Gaels,Saint Mary's Gaels
