TEAMname,color,Mascot,TEAM,Logo
Memphis,#2A2A9B,Tigers,Memphis Tigers,MEM.png
Mercer,#FF7F27,Bears,Mercer Bears,MER.png
Miami (FL),#003E24,Hurricanes,Miami (FL) Hurricanes,MIA.png
Miami (OH),#C60808,RedHawks,Miami (OH) RedHawks,M-OH.png
Michigan,#272341,Wolverines,Michigan Wolverines,MICH.png
Michigan State,#1C453A,Spartans,Michigan State Spartans,MSU.png
Middle Tennessee,#0079C2,Blue Raiders,Middle Tennessee Blue Raiders,MTU.png
Milwaukee,#000000,Panthers,Milwaukee Panthers,MILW.png
Minnesota,#7F011B,Golden Gophers,Minnesota Golden Gophers,MINN.png
Mississippi,#002C91,Rebels,Mississippi Rebels,MISS.png
Mississippi State,#762123,Bulldogs,Mississippi State Bulldogs,MSST.png
Mississippi Valley State,#054105,Delta Devils,Mississippi Valley State Delta Devils,MVSU.png
Missouri,#231F20,Tigers,Missouri Tigers,MIZZ.png
Missouri State,#5F0000,Bears,Missouri State Bears,MORG.png
Monmouth,#051844,Hawks,Monmouth Hawks,MONM.png
Montana,#751D4A,Grizzlies,Montana Grizzlies,MONT.png
Montana State,#003875,Bobcats,Montana State Bobcats,MTST.png
Morehead State,#094FA3,Eagles,Morehead State Eagles,MORE.png
Morgan State,#014786,Bears,Morgan State Bears,MORG.png
Mount St. Mary's,#005596,Mountaineers,Mount St. Mary's Mountaineers,MSM.png
Murray State,#002148,Racers,Murray State Racers,MURR.png
N.J.I.T,#EE3024,Highlanders,N.J.I.T Highlanders,NJIT.png
Navy,#131630,Midshipmen,Navy Midshipmen,NAVY.png
Nebraska,#F20017,Cornhuskers,Nebraska Cornhuskers,NEB.png
Nevada,#153E5F,Wolf Pack,Nevada Wolf Pack,NEV.png
New Hampshire,#004990,Wildcats,New Hampshire Wildcats,UNH.png
New Mexico,#000000,Lobos,New Mexico Lobos,UNM.png
New Mexico State,#891216,Aggies,New Mexico State Aggies,NMSU.png
New Orleans,#2B3986,Privateers,New Orleans Privateers,UNO.png
Niagara,#69207E,Purple Eagles,Niagara Purple Eagles,NIAG.png
Nicholls State,#C41230,Colonels,Nicholls State Colonels,NICH.png
Norfolk State,#046546,Spartans,Norfolk State Spartans,NORF.png
North Carolina,#98BFE5,Tar Heels,North Carolina Tar Heels,UNC.png
North Carolina A&T;,#0505AA,Aggies,North Carolina A&T; Aggies,NCAT.png
North Carolina Central,#880023,Eagles,North Carolina Central Eagles,NCCU.png
North Carolina State,#EF1216,Wolfpack,North Carolina State Wolfpack,NCST.png
North Carolina-Asheville,#156199,Bulldogs,North Carolina-Asheville Bulldogs,UNCA.png
North Carolina-Wilmington,#1D2F68,Seahawks,North Carolina-Wilmington Seahawks,UNCW.png
North Dakota,#702D07,Fighting Sioux,North Dakota Fighting Sioux,UND.png
North Dakota State,#01402A,Bison,North Dakota State Bison,NDSU.png
North Florida,#0A548D,Ospreys,North Florida Ospreys,UNF.png
North Texas,#00853D,Mean Green,North Texas Mean Green,UNT.png
Northeastern,#CC0001,Huskies,Northeastern Huskies,NE.png
Northern Arizona,#003976,Lumberjacks,Northern Arizona Lumberjacks,NAU.png
Northern Colorado,#13558D,Bears,Northern Colorado Bears,UNCO.png
Northern Illinois,#F1122C,Huskies,Northern Illinois Huskies,NIU.png
Northern Iowa,#473282,Panthers,Northern Iowa Panthers,UNI.png
Northwestern,#393996,Wildcats,Northwestern Wildcats,NW.png
Northwestern State,#492F91,Demons,Northwestern State Demons,NWST.png
Notre Dame,#00122B,Fighting Irish,Notre Dame Fighting Irish,ND.png
Oakland,#000000,Golden Grizzlies,Oakland Golden Grizzlies,OAK.png
Ohio,#295A29,Bobcats,Ohio Bobcats,OHIO.png
Ohio State,#DE3121,Buckeyes,Ohio State Buckeyes,OSU.png
Oklahoma,#BA0034,Sooners,Oklahoma Sooners,OKLA.png
Oklahoma State,#FF6500,Cowboys,Oklahoma State Cowboys,OKST.png
Old Dominion,#00507D,Monarchs,Old Dominion Monarchs,OD.png
Oral Roberts,#002E70,Golden Eagles,Oral Roberts Golden Eagles,ORU.png
Oregon,#044520,Ducks,Oregon Ducks,ORE.png
Oregon State,#000203,Beavers,Oregon State Beavers,ORST.png
Pacific,#F47820,Tigers,Pacific Tigers,PAC.png
Penn State,#00265D,Nittany Lions,Penn State Nittany Lions,PSU.png
Pennsylvania,#082A74,Quakers,Pennsylvania Quakers,PENN.png
Pepperdine,#009C98,Waves,Pepperdine Waves,PEPP.png
Pittsburgh,#003263,Panthers,Pittsburgh Panthers,PITT.png
Portland,#0E034E,Pilots,Portland Pilots,PORT.png
Portland State,#005E60,Vikings,Portland State Vikings,PRST.png
Prairie View A&M;,#5A185C,Panthers,Prairie View A&M; Panthers,PV.png
Presbyterian,#194896,Blue Hose,Presbyterian Blue Hose,PRE.png
Princeton,#F9A13A,Tigers,Princeton Tigers,PRIN.png
Providence,#000000,Friars,Providence Friars,PROV.png
Purdue,#000000,Boilermakers,Purdue Boilermakers,PUR.png
Quinnipiac,#041B43,Bobcats,Quinnipiac Bobcats,QUIN.png
Radford,#BC1515,Highlanders,Radford Highlanders,RAD.png
Rhode Island,#3691C6,Rams,Rhode Island Rams,URI.png
Rice,#003D7D,Owls,Rice Owls,RICE.png
Richmond,#9E0712,Spiders,Richmond Spiders,RICH.png
Rider,#A80532,Broncs,Rider Broncs,RID.png
Robert Morris,#00214D,Colonials,Robert Morris Colonials,RMU.png
Rutgers,#EE363D,Scarlet Knights,Rutgers Scarlet Knights,RUTG.png
Sacramento State,#00573C,Hornets,Sacramento State Hornets,CSUS.png
Sacred Heart,#CE1040,Pioneers,Sacred Heart Pioneers,SHU.png
Saint Joseph's,#C2071B,Hawks,Saint Joseph's Hawks,JOES.png
Saint Louis,#00539C,Billikens,Saint Louis Billikens,SLU.png
Saint Mary's,#003768,Gaels,Saint Mary's Gaels,SMC.png
Sam Houston State,#F78F1E,Bearkats,Sam Houston State Bearkats,SHSU.png
Samford,#005485,Bulldogs,Samford Bulldogs,SAM.png
San Diego,#2f99d4,Toreros,San Diego Toreros,USD.png
San Diego State,#231F20,Aztecs,San Diego State Aztecs,SDSU.png
San Francisco,#22523F,Dons,San Francisco Dons,SF.png
San Jose State,#005893,Spartans,San Jose State Spartans,SJSU.png
Santa Clara,#690B0B,Broncos,Santa Clara Broncos,SCU.png
Savannah State,#280298,Tigers,Savannah State Tigers,SAV.png
Seattle,#BF2E1A,Redhawks,Seattle Redhawks,SEA.png
Seton Hall,#0857B1,Pirates,Seton Hall Pirates,HALL.png
Siena,#037961,Saints,Siena Saints,SIE.png
SIU-Edwardsville,#674B20,Cougars,SIU-Edwardsville Cougars,SIUE.png
South Alabama,#003E7E,Jaguars,South Alabama Jaguars,USA.png
South Carolina,#CD0000,Gamecocks,South Carolina Gamecocks,SCAR.png
South Carolina State,#7E1812,Bulldogs,South Carolina State Bulldogs,SCST.png
South Dakota,#CD1241,Coyotes,South Dakota Coyotes,SDAK.png
South Dakota State,#005DAB,Jackrabbits,South Dakota State Jackrabbits,SDST.png
South Florida,#004A36,Bulls,South Florida Bulls,USF.png
Southeast Missouri State,#E2373E,Redhawks,Southeast Missouri State Redhawks,SEMO.png
Southeastern Louisiana,#007550,Lions,Southeastern Louisiana Lions,SELA.png
Southern Illinois,#85283D,Salukis,Southern Illinois Salukis,SIU.png
Southern Methodist,#E32F38,Mustangs,Southern Methodist Mustangs,SMU.png
Southern Miss,#FFAA3C,Golden Eagles,Southern Miss Golden Eagles,USM.png
Southern University,#004B97,Jaguars,Southern University Jaguars,SOU.png
Southern Utah,#D12947,Thunderbirds,Southern Utah Thunderbirds,SUU.png
St. Bonaventure,#70261D,Bonnies,St. Bonaventure Bonnies,SBON.png
St. Francis (NY),#113682,Terriers,St. Francis (NY) Terriers,SFNY.png
St. Francis (PA),#F41650,Red Flash,St. Francis (PA) Red Flash,SFPA.png
St. John's,#D31145,Red Storm,St. John's Red Storm,SJU.png
St. Peter's,#004CC2,Peacocks,St. Peter's Peacocks,SPC.png
Stanford,#A80532,Cardinal,Stanford Cardinal,STAN.png
Stephen F. Austin,#393996,Lumberjacks,Stephen F. Austin Lumberjacks,SFA.png
Stetson,#18581C,Hatters,Stetson Hatters,STET.png
Stony Brook,#115F9A,Seawolves,Stony Brook Seawolves,STON.png
Syracuse,#002D62,Orange,Syracuse Orange,SYR.png
TCU,#3C377D,Horned Frogs,TCU Horned Frogs,TCU.png
Temple,#A80532,Owls,Temple Owls,TEM.png
Tennessee,#EE9627,Volunteers,Tennessee Volunteers,TENN.png
Tennessee State,#383C84,Tigers,Tennessee State Tigers,TNST.png
Tennessee Tech,#5A4099,Golden Eagles,Tennessee Tech Golden Eagles,TNTC.png
Tennessee-Martin,#FF6700,Skyhawks,Tennessee-Martin Skyhawks,UTM.png
Texas,#EE7524,Longhorns,Texas Longhorns,TEX.png
Texas A&M;,#5C0025,Aggies,Texas A&M; Aggies,A&M.png
Texas A&amp;M-CC;,#014B80,Islanders,Texas A&amp;M-CC; Islanders,ALST.png
Texas Southern,#6A0403,Tigers,Texas Southern Tigers,TXSO.png
Texas State,#744143,Bobcats,Texas State Bobcats,TXST.png
